rating ,review
1,đừng nên mua
1,chất liệutệ
1,quá thất vọng đặt quần bò ra quần vải shop làm ăn lừa đảo à
1,giao sai màu
1,chất liệu chất liệu kém
1,hàng rất ư mõng không đáng đễ bõ tiền ra mua rất hối hận khi mua giao hàng rất chậm
1,giao hàng không đúng như hình quá thất vọng với shop này
1,hộp đóng gói sơ sài nhìn hộp kem rất dại mình thấy đấy không phải hàng chính hãng rất thất vọng
1,cũng được giao hàng hơi chậm dịch vụ giao không giao theo giờ hẹn của khách nói tóm lại dịch vụ giao hàng quá tệ
1,tệ son vỏ rất cũ mở son ra thì nhìn như bị hết vậy cái cây đánh son bị hư không thể sử dụng không nên mua
1,đưa sai áo khoác
1,đưa sai áo khoác
1,vải thấy gốm quá tệtui làm giẻ lau luôn rồi gì người không nên mua nói chung quá quá tệ luôn
1,sucks chờ đợi một thời gian dài 3 tuần vẫn gửi sai một lần nữa đặt hàng màu trắng nhận màu đen nó rất nhiều tác dụng
1,sucks chờ đợi một thời gian dài 3 tuần vẫn gửi sai một lần nữa đặt hàng màu trắng nhận màu đen nó rất nhiều tác dụng
1,giao hàng khg đúng quá tệb
1,khuyên mọi người đừng mua hàng ở shop này 1 hàng giao chất lượng kém 2 phản hồi shop thì thái độ phục vụ không tốt 3 k xem nội dung hình ảnh khi phàn nàn 4 số điện thoại cho giả mạo tốt nhaất nên tẩy chay
1,hàng kém chất lượng không giống hình ảnh quá tệ
1,shop giao sai hàng em nhắn tin shop không trả lời ạ
1,giao hàng không như trong hình shop này lừa đảo treo đầu dê bán thịt chó mọi người không nên mua đặt hàng shop này
1,váy rất xấu không giống ảnh hoạ tiết ít vải nóng mặc rất lộ nội y mọi ng nên suy nghĩ kĩ khi mua
1,vải xấu
1,quá tệ giao hàng k giống như mẫu
1,giao hàng không như trong hình shop này lừa đảo treo đầu dê bán thịt chó mọi người không nên mua đặt hàng shop này
1,chiều cacân nặng đưa cái áo chất mát1 cái đen thì như mặc mùa đông chất lượng kém
1,khuyên mọi người đừng mua hàng ở shop này 1 hàng giao chất lượng kém 2 phản hồi shop thì thái độ phục vụ không tốt 3 k xem nội dung hình ảnh khi phàn nàn 4 số điện thoại cho giả mạo tốt nhaất nên tẩy chay
1,áo thêu lỗi chất liệu vãi tệ cho 1 sao
1,rất tệ về hình thức chất lượng
1,giao hàg sai không đúng bán hàg tào lao
1,bán đồ không uy tín hình ảnh hàng hoá khác xa nhau chất liệu kiểu dáng xấu quá thất vọng chất liệu mô tả đầm voan hàng gửi lại thun kiểu dáng khác xa với hình hoàn toàn
1,không giống hình đầm không xoè vải mỏng xấu không biết để làm gì
1,áo thêu lỗi chất liệu vãi tệ cho 1 sao
1,rất tệ về hình thức chất lượng
1,bán đồ không uy tín hình ảnh hàng hoá khác xa nhau chất liệu kiểu dáng xấu quá thất vọng chất liệu mô tả đầm voan hàng gửi lại thun kiểu dáng khác xa với hình hoàn toàn
