rating,review
4,đế hơi cứng nhưng tiền nào của ấy
2,giầy như hình nhưg đế nhanh mòn không dành chơi thể thao
1,quá xấu
2,đá được 4 trận bay luôn đế
3,mũi giày bị cứng
2,đá đc mấy trận dấu hiệu ọng ẹo
4,mùi giầy rất hắc nhưng mẫu mã như hình không bị lỗi
1,hàng cùi bắp kêu ma không đúng ý khuyên anh em đừng nên mua tốn tiền lắm mua về không so dây mà con xấu nữa tao thà mang dép lào còn hơn mang dày của mày
2,ảnh khác hàng giao
4,giao hàng cực nhanh
2,mua trắn giao xanh
4,khá êm chân giá hợp lý
2,san pham k tot
3,mua màu vàng thì lại giao màu cam hơi thất vọng nhưng tạm chấp nhận vì mình cũng dễ tính
3,giày 2 chỗ chỉ thừa mẫu mã giống hình
4,hàng giống hình ok nhưng giao hàng hơi lâu
4,giày khá đẹp
1,chất lượng da mức trung bình đế cao su mỏng mặc dù nhìn phom dày cán đinh thì ăn hành trọng lượng nặng thất vọng
4,hàng đẹp nhưng không hộp mình phải gửi trả sẽ còn ủng hộ
4,chất lượng không tốt lắm nên cho 4
2,hàng mới mà bị chầy xước bẩn như này sao
4,kích cớ hơi sai nên mình đi hơi ép chân
4,bình thường cao cấp gì
4,sp ok nhung co deu ben trong giay không co lot long nhu quang cao ma bang vaj
3,dầy nhanh mòn quá
4,ở hà nội nhưng giao về hcm rất nhanh giày đẹp rất thích điều qc lớp mềm giữa đế nhưng cảm nhận không thấy nhưng mqng vào rất thích
4,hơn rộng đế cứng hơn mình nghỉ
2,hàng đẹp như hình nhưng chất lượng tệ lắm
4,giao hang tot hang tam on so voi gia 404k con ben hay khg phai dung moi biet
3,đẹp keo mũi chân trái dễ bị bung mặc dù chưa đụng nước bên phải còn nguyên
2,toi khách hàng của bạn mọi ng khác cũng khách hàng của bạn giầy đẹp vãi đẹp keo dán giầy rất rất ẩu
2,giày may ẩu
3,chất liệu ổn mẫu mã không bắt mắt
4,chất liệu tốt không như giày vải khác đá bóng ôm chân cảm giác bóng tốt keo hơi dở tí
4,giày thể thao nữ ok
4,hơi xỉn màu
3,hàng hơi bi lỗi xiu nha shop
4,giầy chất lượng tốt phù hợp với giá riền
4,giao hàng tương đối nhanh mình ở khánh hòa 2 ngày nhận giày mẫu mới khá đẹp tuy đường khâu vài chỗ vẫn chưa tốt độ bền thì chờ đá mới biết được đôi tất tặng kèm thì mỏng hơi nhỏ
4,ok trong tam gia giao hang dung henda 10 tran ghi 12 ban ok
4,tạm ổn vì giá phổ thông nên gia công chưa cẩn thận lắm
4,đẹp khá ổn với tầm giá
2,mũi giày chờm keo
3,hơi mỏng chất liệu không tốt lắm
3,giầy trính hãng gì keo dây cả ra nhìn mất điểm quá
1,hàng kém chất lượng bán giá cao
4,chat lượng tam on phu hop voi gia tien
4,mình cũng đang đeo 1 đôi 47 13 mua bên thị trường nhật đôi này mình cảm thấy nó chạy hơn thế nào ấy còn lại thì ổn dịch vụ nhà bán hàng tốt giao nhanh nhưng phí ship hơi cao
4,mua đc trong ct flash sale nên giá ok giày ổn mua cho con bé mang đi học thấy cũng cute tnx shop
4,vết keo dính loè loẹt trên giày kèm theo một số vết bẩn nhỏ hàng chính hãng
4,giầy đá bóng thì cái mu bàn chân quan trọng lắm nên nếu shop may giầy hơn 1 chút thì rất tốt
3,giày đẹp tốt chất lượng tốt test thử sân banh nhưng sai màu rồi rất bức xúc đặt 2 đôi nhưng giao 2 đôi màu cam thì làm sao nhưng vì lỡ xé mất phiếu trả hàng rồi không biết làm sao lần sao mình sẽ đặt nhưng phải giao cho đúng màu
3,giầy không giống hình
4,không phiếu trả hàng
3,giày đẹp chất liệu êm nhưng không bền lắm không thích hợp với mấy bạn đá lăng xả d
2,thế không zớ ak
4,giày đẹp đúng như mẫu
4,cũng vừa ý phần da dưới dây giày hơi xơ xài mỏng may đế rất êm màu tốt chất lượng chưa biết
1,sai mấu ib shop k trả lời
2,giao hàng không đúng màu gọi dt thì không nge
2,hàng quá kém chất lượng đường khâu không chuẩn vừa đi rách
2,phần đế lót giày cần làm cho hẳn hoi tử tế màu lót giày xấu thì chớ lại bị xô xệch tứ lung tung miếng lót ngay lần thử đầu tiên
1,không tốt làm ăn không thật
