rating,review
5,hộp nhỏ xíu
5,chất lượng đáng tiền kết cấu hiệu quả
5,chất liệu mịn mượt tạo ra ánh sáng tự nhiên
5,ok
1,đặt màu này đi giao màu khác thấy ghê không xài được shop không tôn trọng khách hàng
2,giao sai màu sao mà xài
5,một số cây son giao không đúng vậy còn giao thiếu mất 1 cây
5,chất lượng chưa dùng chưa biết
5,ủa đây phải son không ạ
2,không đúng màu trên ảnh
1,giao hàng mà không thấy đâu hết
1,bán hàng không giống như hình cheo thịt dê bán thịt chó
5,mịn màng sắc tố sự kết hợp hoàn hảo giữa lì dưỡng ẩm
5,son đẹp lắm
5,tạm thôi
5,khá tốt vẻ chắc chắn hy vọng dùng bền không bị gió thổi lật
3,vận chuyển rất chậm 
5,chưa xài chưa biết sao
5,kem chống nắng tốt đặt 2 lần
5,nhẹ nhàng thoải mái trên da tuýp lớn dùng lâu phù hợp sử dụng trên cơ thể không gây nhờn rít giá trị tuyệt vời cho giá tiền
5,rất hài lòng
5,mình nhận đc hàng rồi shop ơi cảm ơn shop nhiều nha
5,sp bảo vệ tối đa khỏi ánh nắng mặt trời chưa dùng thử nên chưa biết hiệu quả như thế nào
5,hiệu quả kem chống nắng này mới mua lần đầu chưa biết chất lượng hiệu quả như thế nào xài thời gian sẽ viết đánh giá nhận xét sẽ chính xác nhất
1,hàng giả
5,dùng hết lại mua tiếp chống nắng không nâng tông nên dễ sử dụng dùng ngày 2 lần thấy ổn
5,xài ok lắm thấm lên tông xíu mịn
1,không hài lòng đặt chống nắng giao lọ serum x3 gì á quá bực mình shop xem lại không tui kiện cho shop khỏi bán luôn
5,mình săn đc giá rẻ dùng cũng trắng nói chung rất đáng tiền mua đóng gói kĩ càng
5,cầm khá nặng tay đóng gói kĩ khi bôi lên da trắng lên nó trắng nhẹ không trắng ố dề mùi thơm nhẹ nha
5,tot
2,kem chống nắng không phải hàng chính hãng
5,rất thơm giữ ẩm trước khi trang điểm mềm mại
5,che hình xăm tuyệt vời
5,ok
5,nhận được hàng rồi đóng gói rất kỹ sử dụng rất thích
5,chất lượng tốt kết cấu tốt hiệu quả tốt
4,đặt hàng vào ngày thứ 2 nhận hàng vào ngày 11 đặt hàng 5 màu trên bìa 3 không thẳng 2 nhưng thể chấp nhận
1,gói hàng bị chảy gãy không đúng màu
5,hàng đúng quảng cáo chất lượng ủng hộ 5 sao cho shop
1,gọi hàng bị chảy gãy
1,không phải sweet mint hãng khác không như qc gửi hàng khác đóng gói ok
3,không nhận được trong tình trạng tốt
2,hàng vỡ rụng 3 ô phấn mắt mình báo trả hàng thì lại báo trả hàng tại địa chỉ mặc định
5,bảng màu đa năng cho nhiều phong cách bột ngọc trai tạo điểm nhấn sang trọng
5,tốt
5,màu cũng đẹp điều do vận chuyển mà ô màu bị bung bột màu vương khắp nơi lun
5,nhận được đầy đủ shop giao nhanh đúng phân loại gói cẩn thận
2,màu không giông trên hình
5,nhỏ gọn dễ mang theo khi đi du lịch chất kem mịn mượt dễ tạo ra nhiều kiểu trang điểm khác nhau shipper siêu tuyệt vời sẽ ủng hộ shop
5,dễ thoa lên mắt lớp kết thúc matte bền lâu dễ pha trộn thoa hoàn hảo cho trang điểm hàng ngày
1,hiệu quả ok
2,mua màu trắng gửi màu vàng
5,ok
5,cảm ơn po
1,thời gian giao hàng quá lâu đóng gói ẩu không uy tín tẹo nào vừa nhận hàng phấn rơi vương vãiko nilon chống sốc mất nguyên 1 ô phấn
1,mòn mỏi chờ đợi kết quả đây ạ shop làm ăn cái dell nào lại tệ đến vậy phấn phủ đó mà giao cái l gì thế kia mọi người đừng nên mua đồ của shop này
3,tiền nào của nấy
5,tốt
3,khóc trong lòng nhiều chút
5,hàng ok lắm ạ mọi người nhớ bóc lớp gương ra nhé màu không nhạt nhưng cx không đậm phù hợp cho đi học
1,mình nhận được thiếu hẳn món này tuy không đáng tiền nhưng mà mình chờ nó rất lâu
5,tốt nó đẹp đây để sử dụng trong nước làm cho nó một chút crack nó sẽ không ảnh hưởng đến việc sử dụng
5,trong hình nó trông màu nâu nhưng bí mật gắn liền với màu xám nổi bật màu hồng nhưng giá cả hợp lý
5,hàng ship nhanh đẹp mua 5sp đc tặng phấn má chì kẻ mắt mỗi tội phấn má hồng màu khá giống màu mình mua
5,phấn màu rất mạnh đậm hơn nhiều so với tưởng tượng dùng làm bronzer cũng ổn nhưng mình phải blend kỹ vì màu đậm
5,hàng đóng gói kỹ màu phấn hơi sáng hơn so với hình ảnh
3,ngày sản xuất 32021 chứ không phải 2022 hơi tiếc vì điều này vì 2023 hết hạn rồi
5,dễ sử dụng mịn màng thêm
5,nhìn dong gói đẹp ơn chưa xài chùa biết chất lượng sẽ review sau
3,che khuyết điểm điểm không oke
4,hài lòng phù hợp với giá tiền
2,shop quá tệ
4,chưa thấy tác dụng
5,sp tốt y hình giá hợp túi tiền ok nên mua
1,không vừa lòng
1,hết hạn sử dụng
3,giao dầu gội đầu mới lạ mua xả gội giao 2 gội nt không tl
5,mình nhận hàng giống với shop đăng kem thoa thơm mềm mượtsẽ tiếp tục ủng hộ sau khi dùng hết
5,thêm hình dạng khuôn mặt làm sáng lên khuôn mặt làm sáng lên khuôn mặt tự nhiên làm nổi bật lung linh đa dạng
1,không thấy cây tạo khối
5,nhận được hàng trong tình trạng tốt như mô tả cảm ơn người bán
3,giao hang con thieu nhagui cho minh di
5,làm nổi bật xác định các tính năng của bạn tăng cường diện mạo khuôn mặt của bạn pallet đa năng thuận tiện tạo đường viền hoàn hảo
5,chờ đợi lâu hơn một chút hệ thống chậm cập nhật nhân viên giao hàng yêu cầu ngay cả khi họ không gọi
1,tối đặt 24 màu mà giao 12 màu hộp màucòn bị vởphong cách24 màu
4,son mịn hơi khó tán
5,chất son mềm mịn không quá lỳ màu đẹp như hình giao nhanh đẹp
1,đặt màu này giao màu nọ
5,tiền nào của đó thơm 15 phút nói chung không gì phàn nàn
4,tạm bổnthể tích ml4 pcs
5,đăt màu xanh lại giao màu đỏ
2,quá tệ không mùi hương gì hết
5,hương thơm lâu phai
1,treo đầu dê bán thịt chó không ghi rõ ràng chi tiết chai to hay nhỏ
5,hương thơm chất lượng cao
1,sản phẩm không chất lượng
5,che giấu nhược điểm hiệu quả che giấu nhược điểm hiệu quả che giấu nhược điểm hiệu quả
5,rất tốt mới người nên mua nha shop giao nhanh hàng mới tốt tốt
3,không che được vết xăm như quảng cáo
5,không sử dụng
5,màu kết hợp đẹp cho quầng thâm đốm đen nổi bật
5,kem sài min ma hạn sử dụng ngắn
5,hài lòng
3,không nói gì
2,che không hết hình xăm vẫn còn thấy
5,tốt
1,hàng 1 kiểu giao hàng 1 kiểu sao ạ
1,kem chút ét khô queo sức lên không thấy che được miến nào đi như cũ mua phí tiền mua về xài 1 lần vứt lun
3,shop này gửi hàng ngộ ghê bạn kia mua 15 giao 175 mình mua 15 giao 2 luôn kiểm tra lại nhé shop
5,hàng chính hãng chất lượng tốt giá hợp lý shop đóng gói cẩn thận
1,đặt 15 nhưng shop giao 175
5,mùi giống sáp bút màu giao hàng nhanh chất lượng khá ổn
1,rất chê luôn nha che không được cái gì hết tán ra cứ bị chạy quện quện không mịn được hoặc do tui không biết sài chứ cái này tui chịu á
5,đóng gói đẹp hột sáng đeo bền lần sau mua tiếp
1,không thấy hiệu quả chán
4,tuy che hết hình xăm nhưng nó không hợp với da cho lắm dán lên nhìn 2 tông màu luôn
1,không sử dụng được
