rating,review
2,chất liệu tạm không tốt lắm
1,màu mẫu khác hoàn toàn so với hình ảnh chất xấu
1,áo giao không đúng mẫu rất xấu vải mỏng không mặc được thất vọng
1,áo xấu vải lót vải dù nên rất nóng may không đẹp
1,vải áo rất xấu vải nhăn còn cứng nữa màu be mà nhìn giống màu vàng luôn á bữa mua màu đen thì rất ok lần này mua màu be xấu
1,hàng kém chất lượng quá cho trả lại
1,xấu không như mong muốn
1,giao sai màu không giống như mẫu
1,giao sai hàng
1,quần xấu khác xa so với quảng cáo quảng cáo 1 đằng giao hàng 1 nẻo nhìn quả quần chán thật đánh giá 1 sao ai ý định mua thì nên cân nhắc
1,hàng không đúng mẫu không tốt chút nào
1,không nên mua
1,như shit mua đợi ngày mới nhận được đem vô sạc để dùng sạc 4 tiếng bấm mở nguồn không lên mất tiền thời gian mà chưa xài được 1 lần không nên mua
1,shop bán hàng lừa đảo mic với dây chứ không loa lúc đặt cả loa mic mà khi nhận cái mic với dây không a quá tệ
1,sai mẫu đặt hàng kém chất lượng
1,đó giờ mua hàng lazada chưa thấy cái áo nào mà nó uổng tiền như cái áo này vải nhão mỏng mấy rất xấu không hề giống cái hình xíu nào đăng đỡ hình khi nào rảnh rỗi đăng hình cái áo cho mọi ng coi
1,chất liệu đat màu đen giao màu đỏ vải xấu bần tiện chắc chắn ai mua cũng sẽ hối hận
1,áo đúng màu đúng kiểu chất len mỏng thô nhão nói chung so chất lượng với giá bán thì đắt chất lượng không tốt mua một lần không lần hai
1,áo cho con nít mặc treo hình đẹp mà bán áo thấy gớm vải xấu mỏng như tờ giấy trắng áo thì nhỏ không nên mua nha mấy má
1,áo đẹp nhưng giao sai màu cafe thành đen
1,quá tệ lông lá dính linh tinh vải nhám màu xấu vải dạ xù mất uy tín trang nhận hàng vứt luôn k biết nghĩ gì mà bán hàng kém chất lượng 
1,hàng chất cực xấu xù không giống mô tả
1,chất lượng tệ nhé không đáng mua nếu mua giá này qua adidas mall mua rẻ hơn nhiều chất lượng hơn ở đây nhé nhân viên rất tệ không mua
1,hàng rất tệ không như quảng cáo mọi người không nên mua không nên tiếp tay cho bọn này
1,ghi sét 3 cặp mà chỉ gửi 1 cặp so với chất lượng giá thì quá đắc không nên mua
1,chất liệu kém
1,treo đầu dê bán thịt chó bán 1 đường giao 1 ngõ hàng giao thì không đúng mãi nt shop không trả lời mọi người nên né cái shop này ra tui đặt áo khoác mà giao cái áo thun… tui nhận hàng vì tội a ship bơ gia hàng nắng non… tui chê cái shop này nha shop gì mà tệ hại
1,gửi sai mẫu sai hình ảnh chất lượng kém làm ăn lừa đảo
