rating,review
4,"áo tốt tay hơi dài, vải chưa đẹp"
5,"áo rất tốt, mặc ấm "
5,sản phẩm quá chất lượng áo dày ấm thích hợp mặc mùa lạnh shipper nhiệt tình giao nhanh
5,áo đẹp chất tốt
5,áo rất đẹp shop uy tín ủng hộ tiếp
5,áo này cũng giống áo len đi học màu muốn giống trong hình thì phải đứng dưói nắng
4,form áo giống hình cổ hơi cao phần vải cọ dễ ngứa giặt không lộn mặt dễ xù lông
4,tạm thui nhìn mỏng không dày lắm dạng đúng giá trị thật tạm để xài
5,chất liệu mềm mại thoải mái
5,áo màu như hình mang ấm nên mua xứng đáng với giá tiền
5,"áo rất đẹp, mặc phù hợp với dáng người"
5,"chất liệu tốt, mặc ấm cho thời tiết "
5,áo đẹp giá vừa túi tiền
5,áo đẹp in hình to rõ nét
5,màu nào cũng đẹp cũng ổn nhé
1,chất lượng áo quá kém
5,đồ mặc mát thoải mái khi ở nhà hoặc đi chơi đi làm đều tốt chủ shop chăm sóc khách hàng rất tốt so với giá bán thì quá ổn từ chất lượng đến dịch vụ cảm ơn shop
2,giao hàng sai màu chất lượng không ổn
5,màu đẹp lắm form vải mịn dày cực giao hàng siêu nhanh lần sau sẽ ủng hộ shop tiếp
5,áo đẹp đúng như quảng cáo
5,"chất liệu nỉ bông đúng như mẫu, mặc ấm áp "
5,hơi to nhưng mà mặc vẫn khá thích
5,phù hợp cho cả nam nữ
4,mặc mát chỉ có cổ tay áo chưa ưng
5,rất nhiệt tình đổi trả cực kỳ tuyệt vời chất áo tốt mặc mùa này đủ ấm
5,mình thấy áo đẹp xỉu lun chỉ cần phần thân dài thêm xíu nữa thì thích hơn chất vải đỉnh không quá mỏng cũng không quá dày nói chung xuất sắc
5,áo xinh ổn lắm anh chị em cô dì chú bác ạ thích style nào thì phối style đó đều thích nhá à shop hỗ trợ rất tuyệt vời
5,áo đẹp đẹp ạ vải dày dặn phom áo rộng rãi mặc đi học đi chơi đều hợp nhận hàng nhanh nói chung rất ưng shop
5,áo đẹp giá rẻ mọi người nên mua ủng hộ shop
5,áo đẹp hết nấc cả về chất dáng rất ưng ạ
5,sáng trong bóng tối đa năng thời trang tay dài giữ ấm thêm
5,áo đẹp mặc thích nên mua
5,"áo đẹp chất lượng tốt đóng gói kĩ giao hàng nhanh, giá cả hợp lí nha quần áo giao đủ "
5,giao nhanh vải mặc thích kiểu dáng phù hợp tuổi teen
5,không rụng lông hay xù nhão tay áo dài giữ ấm tốt phong cách unisex đa dụng lớp lông giả mềm mịn dễ chịu
4,"giá rẻ áo đẹp đáng mua nhe các bạn vải nỉ lông mặt trong ấm áp độ dầy vừa ý mình phù hợp môi trường tuy nhiên áo hơi ngắn chưa hợp ý lắm, ít gì thân áo cũng phải dài ngang tay mới đúng chứ"
5,"chất liệu nỉ trần mặc thích, vừa dáng người đẹp lắm"
4,"áo đẹp nhưng vài hơi mỏng, dày dặn một chút sẽ thích hơn"
5,"vải thích nha hàng về nhanh gớm ship quá đỉnh luôn, rất nên mua ạ"
1,"mua áo khoác mà giao dẻ rách về buôn bán như vậy còn ai dám ghé mua nữa, buôn bán không hề tâm con người ta dành dụm tiền ăn sáng mua đc cái áo mà giao toàn dẻ rách thực không thể chấp nhận đc"
4,không đúng mẫu áo đặt
3,vải hơi mỏng chưa như ý lắm
5,đúng như hình mẫu hàng tốt chất lượng cao mọi người nên mua
5,hàng rất đẹp tốt y như mẫu
5,thoải mái thời trang phù hợp cho việc mặc hàng ngày
5,"chất vải đẹp, hoàn hảo cho thời tiết lạnh khả năng hút ẩm tuyệt vời co giãn thoải mái"
5,đồ đẹp nhất mà mình từng mua qua mạng shop đồ đẹp chất lượng mà giá cả rất hợp lý sẽ ủng hộ shop nhiều hơn
5,"u mê lắm luôn á, hàng chất lượng gói hàng rất cẩn thận áo thun co giản tốt dày dặn lắm nha"
5,giao hàng rất nhanh đẹp giống hình giá lại rẻ mọi người mua thì an tâm vì shop làm ăn chuẩn 
5,nỉ dày dặn may chằn bông mặc mùa đông ấm nha
5,đẹp nên mua
1,lừa đảo đặt 1 đằng giao 1 nẻo
5,màu đẹp lắm form vải mịn dày cực giao hàng siêu nhanh lần sau sẽ ủng hộ shop tiếp
5,áo đẹp đúng như quảng cáo
4,shop giao hàng nhanh đóng gói cẩn thận áo cũng được đẹp nhưng không được dày quá mặc không ấm cho lắm phải mặc thêm áo khoác bên ngoài mới giữ được ấm
