rating,review
1,chất liệu đat màu đen giao màu đỏ vải xấu bần tiện chắc chắn ai mua cũng sẽ hối hận
1,kính vừa đeo gãy không đáng tiền
1,giao hàng không như trong hình shop này lừa đảo treo đầu dê bán thịt chó mọi người không nên mua đặt hàng shop này
1,chất lượng tệ không bao giờ mua lại của shop này như kiểu hàng fake ý
1,chất lượng kém bị đứt chỉ 1 đoạn dài đóng gói sơ sài
1,giầy xấu méo tả đk luôn
1,cổ áo bị lỗi
1,shop không trả lời tin nhắn dịch vụ khách hàng rất tệ
1,shop giao sai hàng em nhắn tin shop không trả lời ạ
1,hàng không đúng mẫu không tốt chút nào
1,sai lầm hàng không giống mẫu chất vải siêu xấu giao sai màu không bao giờ lần 2 mọi người không nên mua shop này
1,treo đầu dê bán thịt chó bán 1 đường giao 1 ngõ hàng giao thì không đúng mãi nt shop không trả lời mọi người nên né cái shop này ra tui đặt áo khoác mà giao cái áo thun… tui nhận hàng vì tội a ship bơ gia hàng nắng non… tui chê cái shop này nha shop gì mà tệ hại
1,cũng được giao hàng hơi chậm dịch vụ giao không giao theo giờ hẹn của khách nói tóm lại dịch vụ giao hàng quá tệ
1,mòn mỏi chờ đợi kết quả đây ạ shop làm ăn cái dell nào lại tệ đến vậy phấn phủ đó mà giao cái l gì thế kia mọi người đừng nên mua đồ của shop này
1,không nên mua
1,giao sai màu không giống như mẫu
1,vải thun không phải lụa nhé lừa đảo khách hàng váy xấu tệ
1,chất liệu đat màu đen giao màu đỏ vải xấu bần tiện chắc chắn ai mua cũng sẽ hối hận
1,giao hang sai san pham lua doi khach hang thi danh gia san pham cai gi
1,cũng được giao hàng hơi chậm dịch vụ giao không giao theo giờ hẹn của khách nói tóm lại dịch vụ giao hàng quá tệ
1,chất lượng giày kém mĩnh mua trả lại hàng mở gian hàng chính hãng nhưng lại bán hang gia
1,giao như l vậy đặt áo thun ra áo gì không biết shop làm ăn rất không được kiểu dáng sai chất liệu xấu
1,chất liệu đat màu đen giao màu đỏ vải xấu bần tiện chắc chắn ai mua cũng sẽ hối hận
1,hàng quâ tệ đặt màu đen giao áo nữa màu xanh kiểu dángsai hình
1,chất liệu đat màu đen giao màu đỏ vải xấu bần tiện chắc chắn ai mua cũng sẽ hối hận
1,không thấy hiệu quả chán
1,không thấy hiệu quả chán
1,đặt hàng sai 37 giao 38 không còn dám mua nữa
1,đặt hàng sai 37 giao 38 không còn dám mua nữa
1,chất liệ uvải xấu tệ
1,vải thun không phải lụa nhé lừa đảo khách hàng váy xấu tệ
1,xấu nó vải thun nóng chứ không như mô tả không nên mua
1,sai mấu ib shop k trả lời
1,giầy dỏm không phải hàng fila thất vọng
1,cổ áo bị lỗi
1,giao hang sai san pham lua doi khach hang thi danh gia san pham cai gi
1,chất lượng tệ không bao giờ mua lại của shop này như kiểu hàng fake ý
1,vải thun không phải lụa nhé lừa đảo khách hàng váy xấu tệ
1,sai mấu ib shop k trả lời
1,đặt hàng sai 37 giao 38 không còn dám mua nữa
1,giầy xấu méo tả đk luôn
1,không đáng để mua dù rẻ vì không đúng như quảng cáo
1,sai mấu ib shop k trả lời
1,hàng rất mỏng không đáng đễ bỏ tiền ra mua rất hối hận khi mua giao hàng rất chậm
1,shop giao sai hàng em nhắn tin shop không trả lời ạ
1,đặt đen giao trắng dặn đi dặn lại cũng giao trắng không tôn trọng khách hàng tệ
1,ghi tặng cốc mà giao hàng không cốc shop làm ăn kém uy tín
1,đặt hàng sai 37 giao 38 không còn dám mua nữa
1,chất liệu đat màu đen giao màu đỏ vải xấu bần tiện chắc chắn ai mua cũng sẽ hối hận
1,đặt hàng sai 37 giao 38 không còn dám mua nữa
1,chất lượng giày kém mĩnh mua trả lại hàng mở gian hàng chính hãng nhưng lại bán hang gia
1,sai lầm hàng không giống mẫu chất vải siêu xấu giao sai màu không bao giờ lần 2 mọi người không nên mua shop này
1,áo cho con nít mặc treo hình đẹp mà bán áo thấy gớm vải xấu mỏng như tờ giấy trắng áo thì nhỏ không nên mua nha mấy má
1,giầy dỏm không phải hàng fila thất vọng
