rating ,review
1,Kích cỡ: XL  Màu sắc: đen  Kiểu dáng: regular fit  Chiều ca&Cân nặng: 1m80 70kg Quần ống suông không phải ống rộng với lại nhắn tin cho shop không thèm trả lời
1,đừng neen mua
1,Kiểu dáng:  hàng qua là dở quần jen da bò đấy
1,Chất liệu:ko đúng hình
1,hàng j vậy nè  lừa đảo hả  từ sau mn ko đc xem hàng trc thì ko lên mua hàng nhé tui xóa ap này luôn  bj 1 lần là nghỉ
1,Shop thất đức không có tâm hình ảnh thì đẹp đấy mà shop cho cái quần như rẻ lau không giống trong hình
1,🧵Chất liệu:tệ   📏Kích thước:tệ   👕Phong cách:ko có j ngoài tệ
1,đm như lồn
1,Shop làm ăn thất đức vừa thôi.. đặt 1 kiểu giao 1 kiểu.. quần này làm giẻ lau còn k đáng
1,không giống trong hình.  k đúng cỡ.  như kiểu bận rồi mới đem bán vậy.  giá nào của nấy nhưng cho trân thật chút đi.
1,đơn hàng k giống trong ảnh
1,Sai sản phẩm ko như quảng cáo
1,Đặt màu đen thì gởi màu xám
1,tại sao lại giao cho tôi quần âu
1,🧵Chất liệu:như cặc
1,Quá thất vọng  Đặt quần bò ra quần vải shop làm ăn lừa đảo à
1,giao sai sản phẩm .sai mẫu
1,Mọi người ko nên mua làm ăn ko uy tín ko đùng size lại ko như quảng cáo
1,"I am not satisfied with the material. low quality, the colour is washed and wool coming out already.please I want to return it  Material:zero  Size:okay  Color :zero  Design/Form:okay  Height & Weight:okay"
1,nói cái quần mở về mở ra có đôi vớ không là sao
1,Sản phẩm kém
1,Shop làm ăn thất đức vừa thôi.. đặt 1 kiểu giao 1 kiểu.. quần này làm giẻ lau còn k đáng
1,lừa đảo
1,Đây là quần bò jean nam rách đó hả
1,ko đung hàng
1,hàng ko đung
1,"Màu đen đa năng,"
1,giao sai màu
1,"hình ảnh mang tính chất nhận xu. Quần hơi chật, nên tăng thêm 1 size, chất vải mỏng, không co giãn nhiều, theo mình đánh giá thì không nên mua."
1,đăt xanh nhạt  shop giao màu đen thui nếu không có thì shop gọi hỏi khách sao shop làm ăn kỳ vậy
1,size M  45 đến  55kg mà rong  75kg mặc  vua
1,"giao hàng không đúng sản phẩm, rõ ràng là t đặt áo khoác loang màu mà gửi t nguyên cái áo khác mẹ gì thời bao cấp 🙂"
1,Chất liệu: chất liệu kém  Kích cỡ: ống tay áo quá nhỏ không sỏ tay qua đc  Màu sắc: sai màu sắc chọn  Chiều ca&Cân nặng:  Nói chung không nên mua
1,cái shop lừa đảo ấy mọi người đừng mua
1,shop lừa đảo gửi hàng giả ko
1,ủa em mua cái áo giống như hình sao lại nhận đc cái loại khác vậy ạ cái này là áo bông hay gì mà khoá kéo còn bị hỏng
1,áo gì vậy ạ? nhìn không khác gì dẻ lau nhà
1,hàng không giống như ảnh. Nam thì đưa áo khoác nữ. đặt áo này giao áo khác
1,Màu bên ngoài đep nhưng trong thấy ớn
1,giao ko đúng sản phẩm khác hoàn toàn so với trên hình shop cho😮‍💨 trên hình thì khác giao về thì khác hoàn toàn 😡
1,"Phù hợp cho cả nam và nữ,"
1,Sản phẩm kém chất lượng-k đúng như quảng cáo
1,cái shop lừa đảo ấy mọi người đừng mua
1,shop lừa đảo gửi hàng giả ko
1,ủa em mua cái áo giống như hình sao lại nhận đc cái loại khác vậy ạ cái này là áo bông hay gì mà khoá kéo còn bị hỏng
1,áo gì vậy ạ? nhìn không khác gì dẻ lau nhà
1,đặt 1 đường giao 1 nẻo ko giống như tên và hình ảnh trên sản phẩm chất liệu xấu đặt đồ nam giao toàn đồ nữ và khăn chống nắng cho lồng chim  RẤT TỆÊÊÊÊÊÊ SHOP KO TRUNG THỰC
1,sop láo toét gửi ko đúng sản phẩm toàn đồ cũ nát ko tin các bạn ơi xin đừng ủng hộ shop nhé
1,"đặt áo phao mà shop giao cái này, mất tiền oan, còn phải đi vứt bỏ. lừa đảo"
1,rat tệ...tteo đau de ban thit. c hó ...đat mua loai khac...nhung giao vại xấu quá
1,"Phù hợp cho cả nam và nữ,"
1,Sản phẩm kém chất lượng-k đúng như quảng cáo
1,hàng không giống như ảnh. Nam thì đưa áo khoác nữ. đặt áo này giao áo khác
1,"Тонкая ткань, не держит форму, отличается от картинки. Не рекомендую к заказу."
1,TREO ĐẦU DÊ BÁN THỊT CHÓ ĐỤ MÁ LỪA ĐẢO GIAN LẬN GỬI CÁI ÁO NHƯ CÁI NÙI DẺ
1,"Тонкая ткань, не держит форму, отличается от картинки. Не рекомендую к заказу."
1,"Mặt trước áo ko có logo như ảnh đã đăng, cho là thiếu sót của Shop đi , tuy là đồ rẻ tiền ko phải làm cho có lệ để bán.Làm ăn kiểu này thì dễ phát triển lên đc . Đến phần nhận xét cái áo, bên ngoài tuy hàng dỏm nhưng đẹp, chất, bên trong cái áo phối màu vớ vẩn, làm phèn ,ố yề  luôn cái áo:)) Ai khâu phối màu nên học lại bảng màu ."
1,nghĩ sao giao áo ko có quạt . mà live bán thì nguyên combo quạt với bin  .lừa đảo
1,về tự mua mũ gắn lên hay j ạ
1,đv bán hàng viết câu từ gây nhầm lẫn cho người mua hàng.  hàng nhận không có quạt đi kèm. buộc phải bỏ thời gian chờ đợi mua quạt sau về mới sd được. gây phẫn nộ cho người mua.
1,mua 2 chiếc áo trả tiền trước đầy đủ nhưng giao chỉ 1 chiếc áo . nhắn tin cho shop cả buổi sáng đến chiều cũng không trả lời . rất phẫn nộ với kiểu bán hàng lừa đảo này
1,rat tệ...tteo đau de ban thit. c hó ...đat mua loai khac...nhung giao vại xấu quá
1,"Vải mỏng , k nên mua"
1,"Đụ mẹ lừa đảo , mua cái áo khoác nó gởi về đồ cũ sida ko à …. Mẹ nó….."
1,TREO ĐẦU DÊ BÁN THỊT CHÓ ĐỤ MÁ LỪA ĐẢO GIAN LẬN GỬI CÁI ÁO NHƯ CÁI NÙI DẺ
1,"hàng rất ư là mõng và ko đáng đễ bõ tiền ra mua , rất hối hận khi mua và giao hàng rất chậm"
1,đặt 02 mà giao 04 ???
1,"canh giờ canh ngày sale để được nhận kèm quà, mà hãng trưg ra có quà đến lúc giao chẳg thấy j... như bị lừa...thất vọng thật sự"
1,"Bé nhà mình da bị khô, sau khi sử dụng sản phẩm buối tối, sáng hôm sau da bị kích ứng như hình. Nhắn tin lên shop thì không gặp được tư vấn viên, mãi đến khi khiếu nại lên cskh của lazada bên đó hãng mới phản hồi: Hỏi da bé bị sao mà dùng sản phẩm, sau đó nói chưa chắc do sản phẩm và đòi giấy khám bác sĩ nói bị kích ứng do sản phẩm mới cho trả hàng hoàn tiền (Sau khi điềm tĩnh lại, thì dù mình đi khám cũng không có một bác sỹ nào dám ghi kích ứng do sp La Roche Posay hết) đúng là chiêu trò của nhân viên tư vấn. Mình chỉ muốn trả hàng hoàn tiền vì sau khi ngưng sử dụng và thay thế sản phẩm khác da bé dịu đi nên mình ko đưa đi khám nữa. Mà thái độ của một nhãn hàng lớn như thế này thì thật sự không còn lời nào để nói nữa. Nói chung mọi người nên thận trọng đối với mua hàng của nhãn hàng này!"
1,không hợp với da mình rít lắm. bôi lên rất bết và I check kg phải hàng chính hãng QC là dành cho da nhờn dầu mà xài vào rất rít noi mụn khó chịu có mùi hôi  Chất lượng:tệ
1,hàng giả
1,giao hàng không đúng như hình quá thất vọng với shop này
1,Sản phẩm gây dị ứng nổi mụn liti 2 bên mắt  Trước đó tôi đã sd sp này là hàng km thì ok Mua lọ 50ml về sd 4 ngày là bị dị ứng như thế Mong giải quyét.
1,"giao hàng nhanh nhưng đóng gói cẩu thả, người nhà nhận thay ko mở hộp ktra nen khi tôi mở phát hiện hộp đã bật nắp và kem dây ra ngoài, trên nắp hộp ko có hình logo quen thuộc mà là chữ R ??? Mua xong ko dám xài, thất vọng"
1,hàng dởm. làm giả mã vạch check mã vạch toàn của laza đăng ký nhưng lại quên làm giả mã qr check mã qr sản phẩm không có thông tin gì liên quan đến công ty loreal hết. Quá tệ. lazramail còn vậy. không tin nổi.
1,Gửi sai sản phẩm của khách . Xử lý kém
1,Kem j mà 2 hủ 2 chất khác nhau như là trộn nước vô vậy shop làm ăn j kỳ tôi mún đổi trả hàng hoàn tiền lại đây
1,hàng giả. nhưng kg cho trả hàng. kg thể mua được. mũi và chất cream là hoàn toàn giả.
1,FAKE PRODUCTS. BE AWARE!!
1,Kem không mịn như các hũ mình mua chính hãng của nước ngoài ?Mình thấy mùi lạ không dám dùng
1,"Chất lượng:  Hàng giả, kết cấu nhớt nhợt lỏng loét so với hàng original mình mua đợt trước. Bôi lên rát cả tay chân. Sợ ko dám dùng! Mn cẩn thận"
1,Đợt này mua phải hàng pha ke tức sử dụng k hiệu quả nhìn nắp hộp đã nguy rồi  Chất lượng:kém
1,hàng nhái
1,"Hộp đóng gói sơ sài, nhìn hộp kem rất dại mình thấy đấy không phải hàng chính hãng, rất thất vọng"
1,Official store mà gian dối! Quá tệ! Bye luôn nhãn hàng!
1,Lọ tinh chất khi nhận hàng mở nắp lọ ra là bị tụt cả vòi ấn vào trong nên mỗi lần bôi là phải lôi cả ống của lọ ra để bôi
1,đây là chai serum 5ml ?????
1,"sản phẩm gần hết date cũng giao bán được, sx từ 2020 tới bh vỏ thì cũ tem nát, chưa bh thất vọng nthe. k đúng với mô tả gần hết date thì phải ghi rõ trên bài, bỏ tiền ra mua sp k ưng ý chút nào. Sẽ k bh mua thêm lần nào,"
1,sản phẩm date còn 10 thánh hơi ngắn trừ 1 sao vì shipper k trả 1k mà làm tròn luôn giá tiền 🙂
1,"Cũng được giao hàng hơi chậm  Dịch vụ giao không giao theo giờ hẹn của khách  Nói tóm lại là dịch vụ giao hàng quá tệNhóm màu:black, Kích cỡ:430"
1,"đừng mua, bị lừa đấyNhóm màu:男鞋, Kích cỡ:400"
1,"I am not happy with this product, I will not use it, as it is a completely different color, it differs from the stated photo."
1,Đặt màu này giao màu nọ
1,deliver wrong/another series  product without informing. cannot make return coz i have to open it for check the color fit to me or not. should change your  ad page with correct product!!
1,"Giao hàmg ko đúng mẫu và ko đủ lượng hàng,khách phản hồi thì ko trả lời,đề nghị hoàn tiền ngay"
1,"Nguyên đai nguyên hộp, nhưng mình mua số 1 lại giao số 2 là sao? Mở ra thấy màu kem ko sáng rồi, da mình trắng làm sao dùng dc màu đậm như thế này? Bực ghê cơ, yêu cầu shop đổi hàng số 01. Không bao gờ quay lại shop này"
1,đăng 1 đường bán 1 nẻo
1,gửi hàng vỡ hết mùa bảy vỡ ba toe toét hết ra thì bán kiểu gì ạ shop làm ăn k ủy tín vo vẩn
1,"không phải sweet mint, hãng khác. k như QC, gửi hàng khác. đóng gói ok"
1,"shop giao hư ,màu bể ?"
1,gọi hàng bị chãy gãy. không đúng màu
1,gọi hàng bị chảy và gãy.
1,"Tệ son vỏ rất cũ, mở son ra thì nhìn như bị hết vậy, và cái cây đánh son bị hư không thể sử dụng kh nên mua"
1,Đặt màu này giao màu nọ
1,"Value for Money:thượng đỉnh, thượng hạng, năm sao, đẳng cấp, trác tuyệt, tinh hoa, tinh chọn, tinh tuý, kết tinh, chắt lọc, hào hoa, hiếm thấy, tôn vinh, lừng danh, vang danh, trứ danh, danh tiếng, xứng danh, xứng tầm, nâng tầm, vươn tầm, vượt tầm, huyền thoại, kinh điển, danh chấn, hoàn hảo, hoàn mỹ, tuyệt hảo, hảo hạng, tài hoa 🌺"
1,"Quality:thượng đỉnh, thượng hạng, năm sao, đẳng cấp, trác tuyệt, tinh hoa, tinh chọn, tinh tuý, kết tinh, chắt lọc, hào hoa, hiếm thấy, tôn vinh, lừng danh, vang danh, trứ danh, danh tiếng, xứng danh, xứng tầm, nâng tầm, vươn tầm, vượt tầm, huyền thoại, kinh điển, danh chấn, hoàn hảo, hoàn mỹ, tuyệt hảo, hảo hạng, tài hoa 🌺"
1,"Lừa đảo đặt 1 đằng giao 1 nẻoMàu sắc:SWEATER1015 - DEN, Kích cỡ:L0"
1,ko vặn đc làm sao chỉnh giờ đây hàng quá tệ.....Màu Sắc Dây Đồng Hồ:A5 pieces pink0
1,lừa đảo đồng hồ pin mà để là cơ tự động và giao hàng bể kính đây là một thương hiệu lừa đảo đi thay kính mới biết là pin chứ không phải cơMàu Sắc Dây Đồng Hồ:Ả Rập - mặt vàng đen [bảo hành]1
1,Lừa đảo đặt 1 đằng giao 1 nẻo
1,"Chất liệu:vải  Kích cỡ:k bt  Màu sắc:đen , hồng  Kiểu dáng:k bt  Chiều ca&Cân nặng:k bt shop giao nhầm hàng cho mình , khi mình nhắn tin hỏi shop thì shop chỉ dùng icon để trả lời chứ không viết văn bản cho mình , đây là lần đầu tiên và cũng là lần cuối cùng khi mình mua hàng của shop."
1,
1,Chất liệu:không đúng  Kích cỡ:không phù hợp  Màu sắc:không tốt  Kiểu dáng:sai mẫu  Chiều ca&Cân nặng:Mn ơi đừng nên mua đồ shop này nhé bé mua áo khoác mà nó giao cho bé 2cai áo đã quá sự dụng bé đi học giành tiền mua khoác để mặc đi học mà không bị shop này lưa gạt
1,đưa sai áo khoác
1,gửi hàng lừa đảo à..áo khoác con nhện mà gủi  ba cái đồ gì đâu ko á
1,Chất liệu:không đúng  Kích cỡ:không phù hợp  Màu sắc:không tốt  Kiểu dáng:sai mẫu  Chiều ca&Cân nặng:Mn ơi đừng nên mua đồ shop này nhé bé mua áo khoác mà nó giao cho bé 2cai áo đã quá sự dụng bé đi học giành tiền mua khoác để mặc đi học mà không bị shop này lưa gạt
1,đưa sai áo khoác
1,đặt đồ một đường giao một nẽo :)
1,Lừa đảo đặt 1 đằng giao 1 nẻo
1,"vải thấy gốm quá tệ,tui làm giẻ lau luôn rồi j người không nên mua.. nói chung là  quá quá tệ luôn."
1,quá mỏng nhìn gốm qua là giẻ lau luôn rồi
1,Sucks. Chờ Đợi một thời gian dài. 3 tuần và vẫn gửi sai một lần nữa. Đặt Hàng màu trắng. Nhận màu đen. Nó có rất nhiều tác dụng. Màu sắc là đối diện.
1,"Sản phẩm ko đúng mẫu. Mình mua là cái mũ mà giao không phải mũ. Shop làm ăn dở tệ, mất uy tín quá. Mọi người ko nên mua. Tránh shop này nhé"
1,Sucks. Chờ Đợi một thời gian dài. 3 tuần và vẫn gửi sai một lần nữa. Đặt Hàng màu trắng. Nhận màu đen. Nó có rất nhiều tác dụng. Màu sắc là đối diện.
1,"chất vải thô mặt kg giống hinhNhóm Màu:ĐEN, Kích cỡ:Int:M0"
1,Dress is too large for S size. Especially back part looks disproportional. Poor fabric. Not breathable1
1,"lên đồ thì đẹp mua về không đúng mẫu tôn vải thung em đặt hàng trên đây toàn hàng tôn tiền ma về mặt không được làm sau lần sao giám đặt nữaNhóm Màu:Socola trắng, Kích cỡ:Int: One size0"
1,giao hàng khg đúng quá tệbKích cỡ:Int: XL (57-64KG)0
1,"shop gian lận, mua sire l shop giao sire xl , tui 57 kg mà giao cái đầm chắc 80kg mặc ak, giao sire lớn hơn rồi xé sire cắt sire áo, làm ăn như vậy chắc bềnNhóm Màu:Đen, Kích cỡ:Int:L0"
1,"gửi hàng về 2 lần đều ko giống hình ảnh Sài bét hàng phếchNhóm Màu:Xanh dương, Kích cỡ:Int:XXL0"
1,Tìm thấy một cái lỗ. Vật liệu có chất lượng kém. Dissapointed0
1,"Khuyên mọi người đừng mua hàng ở shop này.  1 : hàng giao chất lượng kém 2 : phản hồi shop thì thái độ phục vụ ko tốt 3: k xem nội dung / hình ảnh khi phàn nàn 4: số điện thoại cho là giả mạo Tốt nhaất  nên tẩy chayNhóm Màu:Mỗi cái nịt, Kích cỡ:Int: One size3"
1,"Chất liệu:vải cứng không giống mẫu   Kích cỡ:vừa   Kiểu dáng:xấu không giống hình ảnh quá thất vọngNhóm Màu:Đen, Kích cỡ:4XL 82.5-95kg0"
1,bán một đường giao một nẻo mọi người cẩn thậnNhóm màu:Màu hồng phấn0
1,đặt mẫu này giao mẫu khác. làm ăn kiểu gj ko biết nữaNhóm màu:Màu đen0
1,Kích cỡ:75kg giao hàng quá nhỏ như áo trẻ con không sử dụng đượcNhóm Màu:Vàng0
1,"Hàng kém chất lượng, không giống hình ảnh, quá tệ.Màu sắc:Đen, Kích thước:L0"
1,Kích cỡ:75kg giao hàng quá nhỏ như áo trẻ con không sử dụng đượcNhóm Màu:Vàng0
1,"lừa đảo ảnh đăng 1 kiểu gửi hàng cái váy giá trị chưa đến 100 k đừng ai mua hàng chỗ này nữa nhé .lừa đảo trắng trợnNhóm Màu:VÀNG, Kích cỡ:Int:M0"
1,"Đặt size L mà shop tự giao size XL rồi giờ ai mặc, ko có size thì phải báo chứKích cỡ:Size 10"
1,"chất vải thô mặt kg giong hinhNhóm Màu:ĐEN, Kích cỡ:Int:M0"
1,"shop giao sai hàng, em nhắn tin shop không trả lời ạNhóm Màu:trắng dài, Kích cỡ:Int:M0"
1,Tìm thấy một cái lỗ. Vật liệu có chất lượng kém. Dissapointed0
1,"ghét kinh khủng , đặt tiền bốn bộ đồ hơn bốn trăm mà giao một bộ váy một cái quần váy , báo giả hàng thì shop bảo sẽ bù hàng mà cả tháng nay bốc hơi luôn , cướp tiền khách hàng , làm ăn dối tráNhóm màu:Màu kem0"
1,"giao hàng không như trong hình, shop này lừa đảo, treo đầu dê bán thịt chó,  Mọi người không nên mua và đặt hàng shop này.Nhóm Màu:Blue flower, Kích cỡ:M0"
1,"váy rất xấu và không giống ảnh. Hoạ tiết ít, vải nóng và mặc rất lộ nội y. Mọi ng nên suy nghĩ kĩ khi mua.Nhóm Màu:trắng, Kích cỡ:M3"
