rating ,review
     5 ,"Lâu trôi và không gây nhờn, Bao bì nhỏ gọn và đẹp mắt, Nhiều màu sắc để lựa chọn, Dưỡng ẩm và nuôi dưỡng môi,"
     5 ,"Chất lượng:đẹp   Đáng tiền:rẻ   Hiệu quả:lì   Màu sắc:01  Lâu dài và không dính, Hoàn hảo cho trang phục hàng ngày, Thiết kế gương thủy tinh, Bao bì gọn nhẹ và phong cách, Thêm độ bóng tự nhiên cho đôi môi, Dễ dàng áp dụng với dụng cụ,"
     5 ,"Lâu trôi và không gây nhờn, Nhiều màu sắc để lựa chọn, Lý tưởng cho việc sử dụng hàng ngày, Thiết kế gương thủy tinh,"
     5 ,Quá xinh quá xuất sắc 1000 đỉm sẽ ủng hộ thích choice quá tui mua gần 40 sản phẩm ở đây rồi
     5 ,"Bao bì nhỏ gọn và đẹp mắt, Lâu trôi và không gây nhờn,  áaaa son đẹppp nha má"
     5 ,Một trong những giao dịch mua tốt nhất tôi có trong năm nay .. Sana talaga Son môi lâu dài. Kakatuwa lang rằng nó đi kèm với màu sắc khác nhau trong một ống .. Sana nhiều biến thể màu sắc PA. Tôi sẽ xem xét lại nếu NA sử dụng ko NA vào ngày mai👄💄
     5 ,"Đã nhận được hàng, bao bì tốt, chưa sử dụng nhưng có vẻ chất lượng tốt, tôi thích màu sắc và cảm ơn người bán, cũng là người lái tốt .."
     5 ,"Đẹp để mặc. Cảm thấy như đôi môi tự nhiên sau khi áp dụng. Khuyên bạn nên mua sản phẩm này \ nkhông dính, bao bì đẹp."
     5 ,"Màu sắc rực rỡ và cao Rendering, giữ ẩm và nuôi dưỡng công thức, giá trị tuyệt vời cho tiền, thuận tiện 5-trong-1 kết hợp, lý tưởng cho việc tạo ra môi khác nhau trông,"
     5 ,Doris à doris à doris à doris à lipstick lipstick lips5ick lipstick not good colors tbhtbh
     5 ,Giao hàng nhanh đóng gói cẩn thận đầy đủ số lượng đã đặt săn sale giá rẻ nhìn cũng ổn vỏ hộp đẹp nói chung với giá này thì phù hợp rồi nhé không nói nhiều
     5 ,Giao hàng nhanh đóng gói cẩn thận đầy đủ số lượng đã đặt săn sale giá rẻ nhìn cũng ổn vỏ hộp đẹp nói chung với giá này thì phù hợp rồi nhé không nói nhiều
     5 ,Chất lượng: đẹp  Đáng tiền: hợp với giá tiền  Kết cấu: xinh lắm  Hiệu quả: ok  Màu sắc: đỏ xinh  Xu hướng:  Với giá tiền ntn màu như thế là quá ok
     5 ,"son cũng ok mua xài thử , thấy rẻ quá trời mà mềm mại nữa nên mình thich lắm .mẫu mã đẹp , ship guao siêu nhanh"
     5 ,Chất lượng:tốt   Đáng tiền:đáng tiền mua giá rẻ  Kết cấu:ổn  Hiệu quả:cao  Màu sắc:màu lên tay đã đẹp rồi giờ lên môi đánh1 lớp thôi đã thấy ưng r😍😍😍
     5 ,môi tôi ko lên màu
     5 ,"Son dùng thích lắm mọi người ơi, bao bì đẹp mê ly nữa.   Gam màu đẹp phù hợp với mọi dịp, Bao bì thanh lịch, hoàn hảo làm quà tặng, Màu sắc sống động và bền lâu, Dễ dàng áp dụng với kết cấu mịn,"
     5 ,"Lớp phủ bóng tạo vẻ quyến rũ, Nhiều màu sắc để lựa chọn, Gam màu đẹp phù hợp với mọi dịp,  QUÁ CAO CẤP CHO 1 EM SON THẾ NÀY"
     5 ,"Gam màu đẹp phù hợp với mọi dịp, Dễ dàng thoa lên với chất liệu mịn mượt, Công thức không gây khô môi, giữ ẩm cho môi,"
     5 ,"Màu sắc sống động và bền lâu, Sắc tố đậm cho đôi môi táo bạo, Công thức lâu trôi cho màu sắc cả ngày,"
     5 ,"Lớp phủ bóng tạo vẻ quyến rũ, Giữ màu trong nhiều giờ mà không lem, Công thức lâu trôi giữ màu suốt cả ngày, Màu sắc tươi sáng và bền lâu,"
     5 ,spham rất tốt nhaaaa mn ơi giá hạt dẻ hơn ngoài nhìuuuu lắm mình có check mã r chuẩn hàg chính hãng giống ngoài store nhaaaaa mnn nên mua ạ sẽ ủg hộ shopp thêmmm!!
     5 ,"đóng gói đẹp chỉnh chu son lên màu siu iu shop cũm siuuu dth nữa cho nghìn lẻ một đỉm cũm đc nữa 😚, check chính hãng oki tr ưi sịn quó"
     5 ,"Check ra son auth, y chang cây mình mua trong store luôn ạ, shop uy tín, giao hàng siêu nhanh. Mình sẽ ủng hộ shop dài dài."
     5 ,Tr ơi son siu xinh đẹp lắm mọi người ơi check code chính hãng yên tâm nha đáng mua
     5 ,"hàng chuẩn, shop đóng gói hàng cẩn thận, lần sau sẽ mua tiếp👍👍👍"
     5 ,This is Good
     5 ,gusto gusto ko itong item patio ung color.. order uli ko uli bago maubos..salamat Po s rider at seller
     5 ,"Chất lượng: kết cấu tốt: Hiệu quả mềm mại và mịn màng: màu sắc lung linh đẹp và rất thoải mái khi mặc \ n \ nvận chuyển nhanh, dịch vụ khách hàng tuyệt vời. Tôi đã đặt hàng 4 màu nhưng bây giờ chỉ có 3 màu cho tôi cho bức ảnh. Màu còn lại là 04, màu đó cũng rất đẹp!! \ Ncảm ơn người bán và Lazada!!"
     5 ,"Dễ dàng để áp dụng và mịn màng, màu sắc sáng bóng, cảm ứng mềm mại và mịn màng, lâu dài đầy đủ kích thước son môi, công thức giúp dưỡng ẩm môi,"
     5 ,"ทำให้ริมฝีปากดูเรียบเนียน, คุ้มค่ากับราคา, ใช้ง่ายและเกลี่ยง่าย, ลิปสติกขนาดเต็มที่ใช้ได้นาน, ติดทนทั้งวันโดยไม่ขาดสี,"
     5 ,"Màu sắc đậm nét cho độ bám màu cao, Màu sắc bền lâu và rực rỡ, Quà tặng hoàn hảo cho những người yêu trang điểm, Lớp lót lì đẹp mắt, Quà tặng hoàn hảo cho những người yêu trang điểm, Bộ 6 cây son đa dạng và tiết kiệm, Dễ dàng thoa và tán đều, No Brand mang lại chất lượng tuyệt vời, Hiệu ứng làm trắng giúp môi sáng hơn,"
     5 ,"Hiệu ứng làm trắng giúp môi sáng hơn, Màu sắc bền lâu và rực rỡ, Quà tặng hoàn hảo cho những người yêu trang điểm,"
     5 ,"No Brand mang lại chất lượng tuyệt vời, Quà tặng hoàn hảo cho những người yêu trang điểm,"
     5 ,"chất lượng sản phẩm tuyệt vời , thời gian giao hàng nhanh chóng"
     5 ,"Chất son lụa mềm mịn trên môi, Hiệu ứng làm trắng giúp môi sáng hơn, Màu sắc đậm nét cho độ bám màu cao,"
     5 ,Bao bì bên ngoài rất đẹp và rất nữ tính. Thái độ phục vụ của người bán rất tốt và thời gian hậu cần cũng OK.
     5 ,Màu này rất trắng và không quá chói. Mình thực sự khuyên mọi người nên mua cùng nhau.
     5 ,Sản phẩm có cảm giác khác biệt khi bạn nhận được. Nó rất cao cấp và giá thành rẻ.
     5 ,Tôi rất thích màu này. Tôi yêu nó lắm.
     5 ,"Màu rất đẹp, rất tươi"
     5 ,"Lâu dài và không thấm nước, lâu dài và không thấm nước, lâu dài và không thấm nước, lâu dài và không thấm nước, lâu dài và không thấm nước, lâu dài và không thấm nước, lâu dài và không thấm nước, lâu dài và không thấm nước, lâu dài và không thấm nước, lâu dài và không thấm nước, lâu dài và không thấm nước, lâu dài và không thấm nước, lâu dài và không thấm nước, lâu dài và không thấm nước, lâu dài và không thấm nước, Lâu dài và không thấm nước, lâu dài và không thấm nước, lâu dài và không thấm nước, lâu dài và không thấm nước, lâu dài và không thấm nước, lâu dài và không thấm nước, tuyệt vời cho sử dụng hàng ngày, màu sắc rực rỡ và phong phú, kết thúc mờ đẹp, ứng dụng mượt mà,"
     5 ,"Ứng dụng mượt mà, tuyệt vời để sử dụng hàng ngày, màu sắc rực rỡ và phong phú, thoải mái khi mặc, kết thúc mờ đẹp,"
     5 ,"Công thức không dính, lâu dài và không thấm nước, tuyệt vời cho sử dụng hàng ngày, màu sắc rực rỡ và phong phú,"
     5 ,Hiệu quả: \ ngandaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.\ N
     5 ,"Đặt hàng nhận được Cảm ơn bạn người bán, và để kuya lái xe bao bì tốt, và cũng có chất lượng tốt."
     5 ,"Màu sắc là ok nhưng nó là dính, Trọng lượng không thoải mái. Nhưng mặt hàng được mạ vàng."
     5 ,"Màu sắc rất dễ thương💗Nhưng Tôi nghĩ rằng đây giống như một cây gậy rắn và hóa ra là một hình dạng lipcream, vì vậy lực đẩy phải nhỏ để nó không bị tổn thương ^ ^ chất lượng: Kết cấu: Kem"
     5 ,"Kết thúc bóng đẹp mắt, Kết thúc bóng đẹp mắt, Làm môi trông đầy đặn và đủ ẩm,"
     5 ,"Shop giao hàng nhanh đóng gói cẩn thận, sản phẩm đúng và đủ món mình đặt, còn được tặng thêm quà, chưa dùng nên chưa biết nhưng thấy tam ổn"
     5 ,"Kết thúc bóng đẹp mắt,"
     5 ,"Giữ màu suốt cả ngày mà không phai nhạt, Không lem và không trôi, Màu sắc bền lâu và tươi sáng, Dễ dàng tẩy trang bằng nước tẩy trang, màu hợp không hề kén da luôn í quá là ưng"
     5 ,Thấy nhỏ bạn xài ok quá mua luôn. Từ sáng đến chiều ăn 8 bữa cũng k trôi cái lớp bóng nha. Đỉnh
     5 ,"Màu sắc bền lâu và sống động, Giá trị tuyệt vời cho số tiền bỏ ra, Có nhiều sắc thái để lựa chọn, Giữ nguyên cả ngày mà không phai,"
     5 ,"Quality:Tốt  Texture:Hơi dính nên hạn chế bặm môi là ổn, không cảm giác nặng môi, lúc mới tô sẽ bóng nhé, 1 hồi sau sẽ chuyển sang lì và đậm màu hơn, son rất bền màu, ăn uống này nọ không trôi hết được đâu   Color :Màu khá giống hình, màu hồng tím nhưng ngả ánh tím nhiều hơn  Value for Money:Màu đẹp chất lì rất đáng mua trong tầm giá nha"
     5 ,"Chất lượng: tốt  Đáng tiền: oke  Kết cấu: mỏng nhẹ  Hiệu quả: xuất sắc  Màu sắc: lên màu đẹp  Xu hướng:  xem review nên mua, màu đẹp ko kén da, màu số 10"
     5 ,hang okdnndkdkxjxm xnxjdjjxjz xnxjdjsjsjs jsjdjjsjd snnsjsjsjjsjsjdjdjdjsjdjdjjdjdjdnddnndndnddndndndjdndjndjdjsnsnjnsjnsndndndndnd
     5 ,VÍA Đơn hàng số này không phải quyền sở hữu hợp pháp vị lai của những người khác của họ.
     5 ,sesuai pesanan ..warna yang aku suka..🥰
     5 ,"Great color payoff, Perfect for special occasions, Creates a glamorous look,"
     5 ,"Đã nhận được hàng phải nói là quá tốt. Sẽ tiếp tục ủng hộ shop lâu dài, cảm ơn shop bán hàng có tâm"
     5 ,Nhìn chung thì khá ổn. Sau một thời gian sử dụng thì không bị khô môi.
     5 ,"Mình mua cây này màu 02 với màu 05. - Về chất son: lần đầu tiên mua món đồ rẻ made in tung của mà xài đc, mọi lần mua về toàn giục. Chất son ổn nha, cũng mịn màng lắm, nhưng mỗi lần lấy son hơi cực, có vẻ đầu cọ không lấy được nhiều son hay sao á, lần nào mình cũng phải đánh lại 3 lớp mới đều hết môi. - Không gây khô môi. - Uống nước son ít dính lên ống hút - Giữ màu cũng ổn luôn, cũng đc 1-2 tiếng. Mình thấy vậy được rồi, chứ lì quá chi ăn uống xong còn có cái viền môi ghê muốn chớt :))))) - Về màu: Mình cảm thấy màu 02 rất xinh, nhẹ nhàng dịu kha.  Màu thiên hồng và có chút nâu nhẹ nhẹ nên màu có hướng trầm nude, ko quá chói và nổi Khi đánh full môi nhìn rất slay luôn nha 🫶🏻 Màu 05 thì đậm và đỏ hơn, nên mình thích màu 02 này hơn."
     5 ,"Mk đã nhận được hàng ,hàng về nguyên vẹn ,đóng gói rất cẩn thận ,lần tới sẽ ủng hộ tiếp .mong sẽ nhận được sản phẩm ưng ý như lần này .hàng thất sự rất OK Công thức không làm khô môi, Nhiều màu sắc để lựa chọn, Giá cả phải chăng, Lớp lót matte bền lâu,"
     5 ,"Mk đã nhận được hàng ,hàng về nguyên vẹn ,đóng gói rất cẩn thận ,lần tới sẽ ủng hộ tiếp .mong sẽ nhận được sản phẩm ưng ý như lần này .hàng thất sự rất OK Lớp lót matte bền lâu, Công thức không làm khô môi, Công thức lâu trôi, Giá cả phải chăng,"
     5 ,"Mk đã nhận được hàng ,hàng về nguyên vẹn ,đóng gói rất cẩn thận ,lần tới sẽ ủng hộ tiếp .mong sẽ nhận được sản phẩm ưng ý như lần này .hàng thất sự rất OK"
     5 ,"Mình mua 3 cây này rồi. Chất son mịn màng ưng dữ lắm. Ko khô môi nữa. Trước mình mua màu 2 và 5 rồi. Giờ mua thêm màu 1, xinh lắm. Màu 1 dùng đc trong công việc hàng ngày rất phù hợp luôn."
     5 ,Đa nhận được son shop đong goi ok lam nha chất lượng thi chua sử dụng nen chưa biết hiệu quả như quảng cáo không
     5 ,"Mang lại vẻ ngoài tự nhiên và tinh tế, Kết cấu nhung cảm giác sang trọng, Dưỡng ẩm môi hiệu quả, Yêu thích sự đa dạng của màu sắc, Giá trị tuyệt vời cho giá cả,"
     5 ,màu cũng đep còn li hay ko thì để dùng rồi mới nói dc
     5 ,"Dưỡng ẩm môi hiệu quả, Lý tưởng cho việc sử dụng hàng ngày, Không bị truyền lên cốc hoặc quần áo, Công thức không gây nhờn,"
     5 ,"Chất lượng：ok Chất liệu：ok Thiết kế：ok giao hàng đúng số lượng, đúng mặt hàng, chất lượng phù hợp giá tiền."
     5 ,"Chất lượng:Son môi dạng thạch hình hoa tuyệt đẹp, Hoàn thiện bóng bẩy cho vẻ ngoài quyến rũ,"
     5 ,Kết thúc mịn màng và không nhờn. Yêu cái nhìn kết thúc tự nhiên. Bên ngoài trông siêu dễ thương quá! Đáng giá
     5 ,"Kết thúc bóng là rất đẹp., Bao bì là kiểu dáng đẹp và thanh lịch., Tôi thích tính năng thay đổi màu sắc!, hiệu quả giữ ẩm thật tuyệt vời.,"
     5 ,"Cảm thấy tươi tắn và thoải mái trên môi, \ n \ neasy để áp dụng và pha trộn, \ n \ nkết thúc bóng cho một cái nhìn quyến rũ, \ n \ nthích hợp cho trang điểm hàng ngày,"
     5 ,"Siêu ganda niya Guys, Kung Ako Yung Nasa PIC Yun talaga Yung dulating, rất tốt, sa uulitin có thể Pang Regal NA ang người"
     5 ,"Đáng tiền: chất lượng ok lắm nhé ạ, giao hàng nhanh, đóng hàng kỹ, sẽ ủng hộ shop nhiều nhiều"
     5 ,"Đáng tiền: chất lượng ok lắm nhé ạ, giao hàng nhanh, đóng hàng kỹ, sẽ ủng hộ shop nhiều nhiều"
     5 ,"Hiệu quả: chất lượng ok lắm nhé ạ, giao hàng nhanh, đóng hàng kỹ, sẽ ủng hộ shop nhiều nhiều"
     1 ,"I am not happy with this product, I will not use it, as it is a completely different color, it differs from the stated photo."
     5 ,"Giao hàng nhanh, màu sắc không phải là sắc tố, ứng dụng không thực sự trơn tru"
     5 ,"Tăng cường vẻ đẹp của đôi môi bạn, Nhiều sắc thái để lựa chọn, Sắc thái kim loại lấp lánh, Hiệu ứng kim cương lấp lánh,"
     5 ,"son rất đẹp có kim tuyến lấp lánh thơm mùi sô co la.giao hàng nhanh.nhưng có điều tôi đặt 3 cây son cùng một cửa hàng sao giao 1 cây son vậy,còn 2 cây ở nước ngoài hok hiểu luôn"
     5 ,This is Good
     5 ,"Hiệu ứng kim cương lấp lánh, Giữ ẩm môi mà không gây khô, Phù hợp với mọi loại da, Thiết kế cốc không dính,"
     5 ,"Cao sắc tố, cường độ cao màu payoff, kim loại kết thúc, hoàn hảo cho những dịp đặc biệt, không dính cup, không có Smudging hoặc chuyển giao, giữ ẩm công thức, Giữ đôi môi ngậm nước, không dính cup, không bị nhòe hoặc chuyển, sắc tố cao, màu sắc rực rỡ, kết thúc bằng kim loại, hoàn hảo cho những dịp đặc biệt,"
     5 ,"Bao bì nhỏ gọn và tiện lợi, Hiệu ứng mờ cho vẻ ngoài thời thượng,  Gói hàng chỉ cs bịch ni lông nên hộp móp méo"
     5 ,"Son bóng chất lượng cao, Tăng cường vẻ đẹp tự nhiên của đôi môi,"
     5 ,"Bao bì nhỏ gọn và tiện lợi, Bao bì nhỏ gọn và tiện lợi, Bao bì nhỏ gọn và tiện lợi,"
     5 ,"Dễ dàng sử dụng với lớp son mịn màng, Tôn lên vẻ đẹp tự nhiên của môi, Đa dạng màu sắc để lựa chọn, Đa dạng màu sắc để lựa chọn, Đa dạng màu sắc để lựa chọn, Đa dạng màu sắc để lựa chọn, Đa dạng màu sắc để lựa chọn, Đa dạng màu sắc để lựa chọn, Đa dạng màu sắc để lựa chọn, Đa dạng màu sắc để lựa chọn, Đa dạng màu sắc để lựa chọn, Đa dạng màu sắc để lựa chọn, Đa dạng màu sắc để lựa chọn, Đa dạng màu sắc để lựa chọn, Đa dạng màu sắc để lựa chọn,"
     5 ,"Công thức không phai màu, Lý tưởng cho trang điểm lâu trôi, nnn"
     5 ,"Chất lượng:ok  Đáng tiền:Hoàn hảo cho một nữ hoàng như tôi, Độ bám màu cao cho màu sắc đậm, Độ bám màu cao cho màu sắc đậm, Màu sắc rất sống động và đẹp, Hoàn thiện bóng bẩy cho vẻ ngoài quyến rũ,"
     5 ,"Hoàn hảo cho một nữ hoàng như tôi, Tiện lợi và dễ sử dụng, Màu sắc bền lâu và tươi sáng, Công thức lâu trôi giữ cho đôi môi đẹp suốt cả ngày, Giữ màu lâu mà không lem hoặc phai mờ, Màu sắc đậm nét cho đôi môi sắc sảo, Tôi thích công thức lâu trôi, Mềm mịn và thoải mái trên môi,"
     5 ,"Shop giao nhanh, đóng gói cẩn thận, date xa, shipper thân thiện."
     5 ,"đã nhận được hàng,  giao hàng nhanh,  son rất ok, rất ưng bụng,  nên mua"
     5 ,son siêu bên màu mẫu mã đẹp mắt có đến 6 màu mình thấy rất thích giá lại rẻ nữa sẽ ủng hộ thêm
     5 ,"Sắc tố đậm cho đôi môi táo bạo, Hoàn thiện mờ cho vẻ ngoài tinh tế, Công thức chống nước cho cả ngày,"
     4 ,"Hoàn thiện mờ cho vẻ ngoài tinh tế, Công thức dưỡng ẩm lâu dài,"
     5 ,"Màu lên môi rất đẹp, tự nhiên thành màu hồng ô mai nữ tính, nhẹ nhàng. Công thức lâu trôi, sẽ tiếp tục ủng hộ shop khi cần."
     5 ,"Công thức chống nước cho đôi môi lâu trôi cả ngày, Dải màu đẹp để lựa chọn, Màu sắc đậm nét cho đôi môi quyến rũ,"
     5 ,"Chất son mịn màng và kem mềm, Dải màu đẹp để lựa chọn, Màu sắc đậm nét cho đôi môi quyến rũ,"
