rating,review
1,áo không túi trong túi bên ngoài nhỏ áo tệ quá
1,sai lầm hàng không giống mẫu chất vải siêu xấu giao sai màu không bao giờ lần 2 mọi người không nên mua shop này
1,mình nhận được thiếu hẳn món này tuy không đáng tiền nhưng mà mình chờ nó rất lâu
1,chất liệu vải như hấp lại nhìn cực tệ
1,cổ áo bị lỗi
1,hàng quâ tệ đặt màu đen giao áo nữa màu xanh kiểu dángsai hình
1,cũng được giao hàng hơi chậm dịch vụ giao không giao theo giờ hẹn của khách nói tóm lại dịch vụ giao hàng quá tệ
1,giao như l vậy đặt áo thun ra áo gì không biết shop làm ăn rất không được kiểu dáng sai chất liệu xấu
1,đặt đen giao trắng dặn đi dặn lại cũng giao trắng không tôn trọng khách hàng tệ
1,hàng cùi bắp kêu ma không đúng ý khuyên anh em đừng nên mua tốn tiền lắm mua về không so dây mà con xấu nữa tao thà mang dép lào còn hơn mang dày của mày
1,đặt hàng sai 37 giao 38 không còn dám mua nữa
1,không thấy hiệu quả chán
1,quá tệ lông lá dính linh tinh vải nhám màu xấu vải dạ xù mất uy tín trang nhận hàng vứt luôn k biết nghĩ gì mà bán hàng kém chất lượng
1,chiều cacân nặngchất không tốt tệ lá
1,vải thun không phải lụa nhé lừa đảo khách hàng váy xấu tệ
1,sai mấu ib shop k trả lời
1,áo thêu lỗi chất liệu vải tệ cho 1 sao
1,đặt hàng sai 37 giao 38 không còn dám mua nữa
1,hàng thì ổn lỗi 1 tí nhưng chấp nhận được nhưng nhân viên giao hàng chậm đợi khi điện mới giao còn phản ánh với nhà bán thì không trả lời mọi người không nên mua vì lỡ vấn đề gì không ai giải quyết
1,Không đáng mua sản phẩm kém chất lượng
1,quá xấu
1,giao sai mẫu
1,chất lượng da mức trung bình đế cao su mỏng mặc dù nhìn phom dày cán đinh thì ăn hành trọng lượng nặng thất vọng
1,chất lượng tệ không bao giờ mua lại của shop này như kiểu hàng fake ý
1,chất liệu đat màu đen giao màu đỏ vải xấu bần tiện chắc chắn ai mua cũng sẽ hối hận
1,chất liệu vải như hấp lại nhìn cực tệ
1,không giống như trên hình viền thì màu hồng chứ không phải màu trắng rất chán
1,sai mấu ib shop k trả lời
1,Nhận hàng sai sản phẩm không giống với mô tả
1,chiều cao cân nặng form bé tý cho trẻ em dưới 6 tuổi chất nóng thất vọng
1,shop giao sai hàng em nhắn tin shop không trả lời ạ
1,sai mẫu thất vọng quá
1,không đáng để mua dù rẻ vì không đúng như quảng cáo
1,đeo không được 1 ngày rơi mắt kính chất lượng của gọng quá kém độ bền thấp
1,giầy xấu
1,giao sai mẫu
1,sai mấu ib shop k trả lời
1,chất lượng giày kém mĩnh mua trả lại hàng mở gian hàng chính hãng nhưng lại bán hang gia
1,sai mấu ib shop k trả lời
1,đặt hàng sai 37 giao 38 không còn dám mua nữa
